codigo_departamento,departamento,anno,cantidad
15,BOYACÁ,2018,0.483
17,CALDAS,2018,0.49
18,CAQUETÁ,2018,0.479
19,CAUCA,2018,0.52
20,CESAR,2018,0.488
27,CHOCÓ,2018,0.579
23,CÓRDOBA,2018,0.477
25,CUNDINAMARCA,2018,0.422
41,HUILA,2018,0.51
44,LA GUAJIRA,2018,0.552
47,MAGDALENA,2018,0.487
50,META,2018,0.494
52,NARIÑO,2018,0.512
54,NORTE DE SANTANDER,2018,0.468
63,QUINDÍO,2018,0.447
66,RISARALDA,2018,0.439
68,SANTANDER,2018,0.486
70,SUCRE,2018,0.461
73,TOLIMA,2018,0.482
76,VALLE DEL CAUCA,2018,0.468
00,Nación,2018,0.517
81,ARAUCA,2018,0.579
85,CASANARE,2018,0.579
86,PUTUMAYO,2018,0.579
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2018,0.517
91,AMAZONAS,2018,0.579
94,GUAINÍA,2018,0.579
95,GUAVIARE,2018,0.579
97,VAUPÉS,2018,0.579
99,VICHADA,2018,0.579
05,ANTIOQUIA,2019,0.511
08,ATLÁNTICO,2019,0.454
11,"BOGOTÁ, D.C.",2019,0.513
13,BOLÍVAR,2019,0.479
15,BOYACÁ,2019,0.5
17,CALDAS,2019,0.469
18,CAQUETÁ,2019,0.484
19,CAUCA,2019,0.537
20,CESAR,2019,0.506
27,CHOCÓ,2019,0.599
23,CÓRDOBA,2019,0.485
25,CUNDINAMARCA,2019,0.435
41,HUILA,2019,0.514
44,LA GUAJIRA,2019,0.58
47,MAGDALENA,2019,0.495
50,META,2019,0.488
52,NARIÑO,2019,0.521
54,NORTE DE SANTANDER,2019,0.492
63,QUINDÍO,2019,0.465
66,RISARALDA,2019,0.442
68,SANTANDER,2019,0.477
70,SUCRE,2019,0.476
73,TOLIMA,2019,0.484
76,VALLE DEL CAUCA,2019,0.473
00,Nación,2019,0.526
81,ARAUCA,2019,0.599
85,CASANARE,2019,0.599
86,PUTUMAYO,2019,0.599
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2019,0.526
91,AMAZONAS,2019,0.599
94,GUAINÍA,2019,0.599
95,GUAVIARE,2019,0.599
97,VAUPÉS,2019,0.599
99,VICHADA,2019,0.599
05,ANTIOQUIA,2020,0.53
08,ATLÁNTICO,2020,0.481
11,"BOGOTÁ, D.C.",2020,0.559
13,BOLÍVAR,2020,0.495
15,BOYACÁ,2020,0.517
17,CALDAS,2020,0.473
18,CAQUETÁ,2020,0.468
19,CAUCA,2020,0.515
20,CESAR,2020,0.524
27,CHOCÓ,2020,0.56
23,CÓRDOBA,2020,0.471
25,CUNDINAMARCA,2020,0.486
41,HUILA,2020,0.539
44,LA GUAJIRA,2020,0.565
47,MAGDALENA,2020,0.505
50,META,2020,0.494
52,NARIÑO,2020,0.508
54,NORTE DE SANTANDER,2020,0.521
63,QUINDÍO,2020,0.485
66,RISARALDA,2020,0.46
68,SANTANDER,2020,0.51
70,SUCRE,2020,0.461
73,TOLIMA,2020,0.493
76,VALLE DEL CAUCA,2020,0.514
00,Nación,2020,0.544
81,ARAUCA,2020,0.565
85,CASANARE,2020,0.565
86,PUTUMAYO,2020,0.565
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2020,0.544
91,AMAZONAS,2020,0.565
94,GUAINÍA,2020,0.565
95,GUAVIARE,2020,0.565
97,VAUPÉS,2020,0.565
99,VICHADA,2020,0.565
05,ANTIOQUIA,2021,0.505
08,ATLÁNTICO,2021,0.457
11,"BOGOTÁ, D.C.",2021,0.528
13,BOLÍVAR,2021,0.476
15,BOYACÁ,2021,0.494
17,CALDAS,2021,0.465
18,CAQUETÁ,2021,0.448
19,CAUCA,2021,0.509
20,CESAR,2021,0.488
27,CHOCÓ,2021,0.542
23,CÓRDOBA,2021,0.484
25,CUNDINAMARCA,2021,0.461
41,HUILA,2021,0.473
44,LA GUAJIRA,2021,0.554
47,MAGDALENA,2021,0.489
50,META,2021,0.457
52,NARIÑO,2021,0.495
54,NORTE DE SANTANDER,2021,0.474
63,QUINDÍO,2021,0.447
66,RISARALDA,2021,0.42
68,SANTANDER,2021,0.516
70,SUCRE,2021,0.468
73,TOLIMA,2021,0.5
76,VALLE DEL CAUCA,2021,0.483
00,Nación,2021,0.523
81,ARAUCA,2021,0.554
85,CASANARE,2021,0.554
86,PUTUMAYO,2021,0.554
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2021,0.523
91,AMAZONAS,2021,0.554
94,GUAINÍA,2021,0.554
95,GUAVIARE,2021,0.554
97,VAUPÉS,2021,0.554
99,VICHADA,2021,0.554
05,ANTIOQUIA,2022,0.535
08,ATLÁNTICO,2022,0.496
11,"BOGOTÁ, D.C.",2022,0.549
13,BOLÍVAR,2022,0.559
15,BOYACÁ,2022,0.529
17,CALDAS,2022,0.488
18,CAQUETÁ,2022,0.484
19,CAUCA,2022,0.512
20,CESAR,2022,0.487
27,CHOCÓ,2022,0.588
23,CÓRDOBA,2022,0.503
25,CUNDINAMARCA,2022,0.494
41,HUILA,2022,0.477
44,LA GUAJIRA,2022,0.522
47,MAGDALENA,2022,0.513
50,META,2022,0.488
52,NARIÑO,2022,0.496
54,NORTE DE SANTANDER,2022,0.503
63,QUINDÍO,2022,0.458
66,RISARALDA,2022,0.487
68,SANTANDER,2022,0.522
70,SUCRE,2022,0.503
73,TOLIMA,2022,0.526
76,VALLE DEL CAUCA,2022,0.521
00,Nación,2022,0.556
81,ARAUCA,2022,0.588
85,CASANARE,2022,0.588
86,PUTUMAYO,2022,0.588
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2022,0.556
91,AMAZONAS,2022,0.588
94,GUAINÍA,2022,0.588
95,GUAVIARE,2022,0.588
97,VAUPÉS,2022,0.588
99,VICHADA,2022,0.588
