codigo_municipio,anno,cantidad,delito
05129,2024,3,2
05129,2024,1,6
05129,2024,2,7
05134,2017,1,3
05134,2020,1,7
05134,2021,1,2
05134,2021,1,3
05134,2022,2,2
05134,2022,2,6
05134,2022,5,7
05134,2023,6,6
05134,2024,1,3
05138,2013,2,1
05138,2013,1,3
05138,2013,4,5
05138,2014,1,1
05138,2015,1,3
05138,2017,1,3
05138,2019,3,1
05138,2019,2,5
05138,2020,5,2
05138,2020,4,6
05138,2020,2,7
05138,2021,1,1
05138,2021,4,2
05138,2021,4,7
05138,2022,2,1
05138,2022,8,2
05138,2022,17,6
05138,2022,10,7
05138,2023,1,1
05138,2023,6,2
05138,2023,3,3
05138,2023,30,6
05138,2023,8,7
05138,2024,1,2
05142,2017,3,3
05142,2019,2,3
05142,2020,2,6
05142,2020,1,7
05142,2021,1,3
05142,2021,3,7
05142,2022,2,2
05142,2022,2,6
05142,2022,5,7
05142,2023,3,3
05142,2023,11,6
05142,2023,5,7
05142,2024,1,6
05142,2024,1,7
05145,2018,1,1
05145,2018,1,3
05145,2020,2,6
05145,2020,2,7
05145,2021,1,1
05145,2022,1,2
05145,2022,3,6
05145,2022,1,7
05145,2023,2,2
05145,2023,1,7
05145,2024,2,6
05147,2010,1,3
05147,2015,1,1
05147,2015,3,3
05147,2016,1,1
05147,2017,3,1
05147,2020,2,1
05147,2020,6,2
05147,2020,34,6
05147,2020,47,7
05147,2021,3,1
05147,2021,15,2
05147,2021,55,7
05147,2022,3,1
05147,2022,19,2
05147,2022,1,3
05147,2022,15,6
05147,2022,157,7
05147,2023,44,2
05147,2023,52,6
05147,2023,114,7
05147,2024,1,2
05147,2024,1,6
05147,2024,4,7
05148,2012,1,1
05148,2012,1,3
05148,2013,4,1
05148,2014,4,1
05148,2014,1,3
05148,2015,6,1
05148,2015,4,3
05148,2016,6,1
05148,2016,9,3
05148,2017,6,1
05148,2017,7,3
05148,2017,2,5
05148,2018,5,1
05148,2018,2,4
05148,2019,6,1
05148,2020,22,2
05148,2020,6,3
05148,2020,2,5
05148,2020,18,6
05148,2020,34,7
05148,2021,18,2
05148,2021,1,3
05148,2021,35,7
05148,2022,2,1
05148,2022,32,2
05148,2022,3,3
05148,2022,36,6
05148,2022,100,7
05148,2023,1,1
05148,2023,77,2
05148,2023,2,3
05148,2023,38,6
05148,2023,65,7
05148,2024,4,6
05148,2024,5,7
05150,2015,3,3
05150,2016,1,3
05150,2018,5,3
05150,2019,1,3
05150,2020,4,2
05150,2020,1,3
05150,2020,2,6
05150,2020,3,7
05150,2021,1,2
05150,2021,9,7
05150,2022,2,1
05150,2022,2,2
05150,2022,1,3
05150,2022,9,7
05150,2023,3,2
05150,2023,1,3
05150,2023,6,6
05150,2023,16,7
05150,2024,1,1
05154,2011,1,1
05154,2011,5,3
05154,2011,2,5
05154,2013,3,1
05154,2013,2,3
05154,2014,3,1
05154,2014,2,5
05154,2015,5,3
05154,2016,1,1
05154,2016,6,3
05154,2016,6,4
05154,2016,2,5
05154,2017,4,1
05154,2017,7,3
05154,2017,4,5
05154,2018,6,1
05154,2018,2,5
05154,2019,3,1
05154,2019,3,3
05154,2020,1,1
05154,2020,65,2
05154,2020,5,3
05154,2020,2,5
05154,2020,58,6
05154,2020,47,7
05154,2021,3,1
05154,2021,75,2
05154,2021,1,3
05154,2021,30,7
05154,2022,7,1
05154,2022,72,2
05154,2022,80,6
05154,2022,68,7
05154,2023,1,1
05154,2023,136,2
05154,2023,4,3
05154,2023,116,6
