codigo_municipio,anno,cantidad,delito,codigo_departamento,poblacion,indice
05040,2019,7,9,05,18737.0,37.36
05040,2019,33,11,05,18737.0,176.12
05040,2019,52,14,05,18737.0,277.53
05040,2019,13,15,05,18737.0,69.38
05042,2010,1,1,05,24381.0,4.1
05042,2010,2,5,05,24381.0,8.2
05042,2010,2,9,05,24381.0,8.2
05042,2010,5,11,05,24381.0,20.51
05042,2010,2,14,05,24381.0,8.2
05042,2010,2,15,05,24381.0,8.2
05042,2011,1,3,05,24522.0,4.08
05042,2011,16,8,05,24522.0,65.25
05042,2011,7,9,05,24522.0,28.55
05042,2011,7,11,05,24522.0,28.55
05042,2011,3,14,05,24522.0,12.23
05042,2011,1,15,05,24522.0,4.08
05042,2012,1,1,05,24698.0,4.05
05042,2012,2,5,05,24698.0,8.1
05042,2012,19,9,05,24698.0,76.93
05042,2012,12,11,05,24698.0,48.59
05042,2012,9,14,05,24698.0,36.44
05042,2012,3,15,05,24698.0,12.15
05042,2014,1,1,05,25075.0,3.99
05042,2014,2,5,05,25075.0,7.98
05042,2014,5,8,05,25075.0,19.94
05042,2014,12,9,05,25075.0,47.86
05042,2014,8,11,05,25075.0,31.9
05042,2014,1,12,05,25075.0,3.99
05042,2014,12,14,05,25075.0,47.86
05042,2014,1,15,05,25075.0,3.99
05042,2015,1,1,05,25252.0,3.96
05042,2015,2,3,05,25252.0,7.92
05042,2015,2,4,05,25252.0,7.92
05042,2015,38,8,05,25252.0,150.48
05042,2015,16,9,05,25252.0,63.36
05042,2015,26,11,05,25252.0,102.96
05042,2015,71,14,05,25252.0,281.17
05042,2015,13,15,05,25252.0,51.48
05042,2016,2,4,05,25462.0,7.85
05042,2016,56,8,05,25462.0,219.94
05042,2016,24,9,05,25462.0,94.26
05042,2016,57,11,05,25462.0,223.86
05042,2016,120,14,05,25462.0,471.29
05042,2016,28,15,05,25462.0,109.97
05042,2017,1,3,05,25808.0,3.87
05042,2017,52,8,05,25808.0,201.49
05042,2017,17,9,05,25808.0,65.87
05042,2017,35,11,05,25808.0,135.62
05042,2017,104,14,05,25808.0,402.98
05042,2017,21,15,05,25808.0,81.37
05042,2019,3,1,05,26598.0,11.28
05042,2019,5,3,05,26598.0,18.8
05042,2019,60,8,05,26598.0,225.58
05042,2019,23,9,05,26598.0,86.47
05042,2019,26,11,05,26598.0,97.75
05042,2019,68,14,05,26598.0,255.66
05042,2019,15,15,05,26598.0,56.4
05044,2013,1,3,05,6894.0,14.51
05044,2013,4,9,05,6894.0,58.02
05044,2013,3,14,05,6894.0,43.52
05044,2014,1,3,05,6905.0,14.48
05044,2014,4,14,05,6905.0,57.93
05044,2015,2,3,05,6976.0,28.67
05044,2015,2,8,05,6976.0,28.67
05044,2015,1,9,05,6976.0,14.33
